date,AGG,EEM,EWZ,FXI,GLD,IWM,IYR,QQQ,SPY,TLT
20030106,NaN,NaN,6.6808,NaN,NaN,34.4605,24.923,24.8108,75.9175,55.916
20030107,NaN,NaN,6.5819,NaN,NaN,34.2809,24.6387,25.1219,75.7297,56.117
20030108,NaN,NaN,6.3688,NaN,NaN,33.9393,24.2659,24.4149,74.6353,56.3958
20030109,NaN,NaN,6.6351,NaN,NaN,34.4386,24.367,25.169,75.795,55.3131
20030110,NaN,NaN,6.8406,NaN,NaN,34.513,24.228,25.5461,75.9992,55.4557
20030113,NaN,NaN,6.8482,NaN,NaN,34.5919,24.0732,25.3953,75.9747,55.5465
20030114,NaN,NaN,6.8406,NaN,NaN,34.6138,24.0101,25.5273,76.2197,55.741
20030115,NaN,NaN,6.6199,NaN,NaN,34.5349,24.0069,25.2067,75.4602,56.0133
20030116,NaN,NaN,6.6884,NaN,NaN,34.4868,23.7953,24.9239,75.1498,56.0911
20030117,NaN,NaN,6.4069,NaN,NaN,33.8386,23.4794,23.8587,74.0392,56.3698
20030121,NaN,NaN,6.1101,NaN,NaN,33.348,23.4288,23.5948,72.8877,56.694
20030122,NaN,NaN,5.9351,NaN,NaN,33.0589,23.4541,23.5005,72.0057,56.9728
20030123,NaN,NaN,5.8666,NaN,NaN,33.2648,23.5141,24.0473,72.4467,56.694
20030124,NaN,NaN,5.5927,NaN,NaN,32.5772,23.2993,23.3968,70.5438,57.0311
20030127,NaN,NaN,5.5014,NaN,NaN,32.0822,23.0908,23.1235,69.5801,56.8236
20030128,NaN,NaN,5.5699,NaN,NaN,32.345,23.1761,23.3591,70.0946,56.8236
20030129,NaN,NaN,5.8362,NaN,NaN,32.5903,23.3214,23.7079,70.6255,56.5125
20030130,NaN,NaN,5.8134,NaN,NaN,32.0603,23.2646,23.1329,68.9513,56.9339
20030131,NaN,NaN,5.9884,NaN,NaN,32.5158,23.5173,23.0386,70.2825,57.0894
20030203,NaN,NaN,5.9579,NaN,NaN,32.2355,23.5331,23.0858,70.4213,57.1724
20030204,NaN,NaN,5.7753,NaN,NaN,32.2355,23.4731,22.803,69.7271,57.4261
20030205,NaN,NaN,5.8514,NaN,NaN,31.9946,23.5868,22.6993,69.2943,56.9317
20030206,NaN,NaN,5.7144,NaN,NaN,31.8195,23.5868,22.8218,68.9676,57.3936
20030207,NaN,NaN,5.7525,NaN,NaN,31.2369,23.4067,22.4448,68.1265,57.5237
20030210,NaN,NaN,5.7068,NaN,NaN,31.561,23.5647,22.6427,68.6083,57.1204
20030211,NaN,NaN,5.7677,NaN,NaN,31.4734,23.372,22.7653,68.1346,57.1074
20030212,NaN,NaN,5.7449,NaN,NaN,31.0311,23.1888,22.4542,67.0485,57.309
20030213,NaN,NaN,5.5851,NaN,NaN,30.9479,23.1793,22.5673,67.2526,57.6213
20030214,NaN,NaN,5.4557,NaN,NaN,31.2282,23.1288,23.0858,68.7226,57.1269
20030218,NaN,NaN,5.7068,NaN,NaN,31.8545,23.4036,23.8022,69.9313,57.1984
20030219,NaN,NaN,5.6003,NaN,NaN,31.4691,23.5647,23.6419,69.5638,57.5888
20030220,NaN,NaN,5.6079,NaN,NaN,31.4034,23.5805,23.5477,68.8696,57.784
20030221,NaN,NaN,5.6079,NaN,NaN,31.6749,23.8742,23.7268,69.5638,57.4457
20030224,NaN,NaN,5.6992,NaN,NaN,31.1888,23.6405,23.3214,68.4368,57.7189
20030225,NaN,NaN,5.5699,NaN,NaN,31.4734,23.849,23.3497,68.984,57.9856
20030226,NaN,NaN,5.4938,NaN,NaN,31.3158,23.7384,22.8312,67.9795,58.389
20030227,NaN,NaN,5.6079,NaN,NaN,31.4883,23.9279,23.3497,68.8778,58.4866
20030228,NaN,NaN,5.6688,NaN,NaN,31.5391,23.9722,23.7173,69.3351,58.8574
20030303,NaN,NaN,5.6916,NaN,NaN,31.4428,23.9469,23.2366,68.6736,58.9294
